phase,name,status,evidence,key_gaps,next_step,risk
1,Universe correctness,Partial,"504 primary tickers seeded; CIK validation live; 11 sectors populated","TEAM not in S&P 500 YAML; market cap/liquidity filter missing; 174 extended tickers sector=NULL","Verify YAML covers all current S&P 500 members; add market cap filter",Low
2,Price / move detection,Built,"All 7 windows: 1d/3d/5d/10d/20d/60d + 52wk breakouts; 4305 events from 500 tickers; 1 year price history","Drawdown/loss detection missing; some multi-window duplicate events in report","Add drawdown detection; deduplicate in report view",Low
3,Base scoring and tiering,Partial,"629 tickers scored; 5-component scorecard; tiers assigned daily","0 A-tier 0 B-tier; 36% Incomplete (missing fundamentals); weights uncalibrated","Calibrate weights once forward returns populate; fix fundamentals coverage",Medium
4,Catalyst attribution,Partial,"1.4M SEC filings ingested; LLM pipeline built; daily-catalyst-queue produces shadow projections","LLM requires real API key (mock mode); ~50% source coverage; reactive not prospective","Configure NVIDIA/OpenAI key; add EFTS fallback for PDF filings",Medium
5,Dashboard / manual review,Partial,"Multi-page Streamlit dashboard; HTML queue report; 7 reviews submitted; scorecard tracking","7 reviews insufficient for calibration; no automated alert triggers","Run daily pipeline consistently; encourage review submission",Low
6,Prediction-vs-actual report,Partial,"CLI live; score join working; 3 output artifacts; 12 tests green","Score history only 3 days → 91.8% unscored_mover; 0 scored_correct","Accumulate score history across weeks; no code change needed",Low
7,Root-cause enrichment for missed spikes,Partial,"missed_opportunity_investigations table exists; 1238 investigations run","976 LLM-blocked; no deterministic root cause for true_miss/scored_missed/near_threshold in prediction report","NEXT BUILD: add deterministic enrichment using scores/fundamentals/events joins",High
8,Sector / theme / sympathy attribution,Missing,"(none)","No sector ETF prices; no cross-ticker theme clustering; GDELT/Stocktwits are stubs","Seed sector ETF tickers (XLF/XLK/XLE/XLV etc.) in YAML",High
9,Earnings / estimates / revisions data,Partial,"63 earnings calendar events in events table","No EPS estimates actuals or surprise magnitude; no revision momentum","Add Alpha Vantage or Polygon Financials adapter for EPS estimates",High
10,News / contract / product catalyst sources,Missing,"GDELT and Stocktwits ingestors are registered stubs (zero records)","No news text pipeline; no press-release scraping at scale","Implement GDELT 2.0 Events API (free no key required)",Medium
11,Outcome tracking and learning loop,Partial,"candidate_outcomes has 1236 rows; 7 candidate reviews; learning/insights.py exists","All forward_return columns NULL; reviews insufficient for calibration","Schedule backtest smoke daily to populate forward returns",High
12,Production scoring / feature flags,Partial,"scorecard_experiments table (4 applied 4 proposed); human approval gate documented","No automated feature flag mechanism; applied experiments require manual re-scoring run","Define operationally what applied means; link to pipeline run log",Medium
13,Operational automation,Partial,"systemd units exist; main.py daily-radar; operational scripts present","Daily pipeline not consistently running; no Telegram/email configured","Schedule daily-radar via systemd or cron; configure one notification channel",Medium
